target,RA_ICRS,e_RA,DE_ICRS,e_DE,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,std_delta_ra,std_delta_de,std_delta_pmra,std_delta_pmde,cov_delta_ra_de,cov_delta_ra_pmra,cov_delta_ra_pmde,cov_delta_de_pmra,cov_delta_de_pmde,cov_delta_pmra_pmde,problem
HD156079,259.0992387691344,0.0557856809269488,-21.85866198935934,0.0485812536441387,17.445907563628623,0.0807076527867616,-69.10004070735098,0.1018520173636751,-165.07478849622692,0.0741887789641324,-103.17753349659968,0.1974395579544997,1.549602161909078e-07,1.34947926749681e-07,1.018456344623643,0.741830268440337,1.562219224129729e-22,5.248059944327826e-13,3.662343266957957e-13,-3.1223650659006913e-14,-2.0754164962837032e-14,-0.0001016116302704,0
HD156098,259.2646870021864,0.1293863684980306,-32.66307678209524,0.1077398243764578,20.69926587003027,0.1601860907909221,-96.8072007042362,0.2338437943974494,-54.71619630887209,0.1731136044291933,-39.07919228083546,0.8660273319324773,3.594064800670531e-07,2.992772871769273e-07,2.3374992763031104,1.7310896520695798,5.6895198679584164e-21,1.2794629211666226e-11,2.324247720637393e-12,-1.033809542681267e-12,-1.7959996294841218e-13,-0.0008269534055917,0
HD15612,37.37677988297313,0.0165645397556038,-41.36381383906288,0.0187035340895885,18.898790266610646,0.0225410809650865,212.01329116292376,0.0333969557328942,-31.42951331187996,0.0395609225451942,29.080698986015456,0.2637584493519226,4.601261037624603e-08,5.1954261185300346e-08,0.333964220307039,0.3956086570856252,-3.33588438684405e-24,-1.8596450717133308e-15,1.0239446737987194e-15,1.4754659957435245e-15,2.0352924193032165e-15,5.021858894855644e-07,0
HD156411,259.9639521652917,0.0452201533666416,-48.55023133492041,0.0528209370665255,17.55670828472769,0.0559330799730631,-33.200513870059005,0.0847325025814363,-211.58154173353503,0.0872218855167608,-38.763642573254856,0.1786610857135157,1.2561153543710556e-07,1.4672482344003487e-07,0.8473070492494331,0.8720196746677945,3.1243371688821734e-23,1.0460026557674737e-13,2.7678743014812384e-13,-2.3996734254265344e-14,-1.1754551957806278e-13,-9.495911681685996e-05,0
HD156423,259.6816047611032,0.0561708118744191,-29.49130664963965,0.0433686676385524,18.17359159590523,0.0535346414395868,-183.93170586617964,0.1100108043894297,-208.01890368939837,0.0727210685663244,-29.67635645154257,0.288580262233473,1.5603003084410674e-07,1.2046852117880132e-07,1.100055483972546,0.7271960176044308,5.955894304655437e-23,1.623582624143001e-13,6.735691548369838e-14,-1.3379983982352412e-14,-5.8337886261934305e-15,-4.946934214536744e-05,36
HD156846,260.1423366066357,0.0485330167105644,-19.334365015388645,0.0420064877300261,20.921000415127672,0.0508131396431072,-136.78449402194022,0.0965062372568978,-143.2134470200563,0.0736346279710302,-68.39334395498204,0.1242943185594082,1.348139315842764e-07,1.166846881147101e-07,0.9649741643597036,0.7363138761421607,-6.828550234921984e-23,4.09550818641567e-13,2.1570545536598245e-13,2.898728840798478e-14,1.5455057812728884e-14,-9.007166464401462e-05,36
HD156854,260.7797380627403,0.0762410597603441,-56.52553429755215,0.068940567606998,9.538854276329026,0.0793810790059746,8.607497223917917,0.1251177815014212,3.348759623386329,0.1220713264338636,-5.246247688502896,0.1482060987668245,2.1178071704684414e-07,1.9150157381757682e-07,1.251169492975484,1.2207084461505842,1.2567551554728891e-22,1.8315210118644262e-13,-2.9514378645188154e-14,2.952371447243306e-14,1.1040588288900965e-13,-2.2335882343569803e-06,1
HD156991,260.38171632780137,0.0708390926481715,-22.926065879396464,0.0599703714728001,16.62206694352478,0.0783818729735789,0.1585798751169645,0.1316498660421423,-31.680670029933516,0.0951756095208913,-28.91283275196159,0.2542089567172989,1.9677525590523286e-07,1.6658436519843386e-07,1.3164974097909188,0.9517557429662163,2.5581809814399802e-23,3.8453169305684996e-14,1.6712363792138524e-14,-1.6728203925003348e-15,-7.235179686395763e-16,-1.3760881722938329e-06,1
HD157060,260.6584694378284,0.2376145864094539,-35.91030325661855,0.1920322626518113,26.47862179803636,0.2172532544155851,66.16146080606302,0.471841544751255,71.24519512914073,0.309362528167845,-15.722455799896249,1.8939975666853284,6.600403586013417e-07,5.334229455601397e-07,4.71841544751255,3.093624598256882,-3.743534802662712e-20,0.0,-7.622272652906807e-13,0.0,-1.3577376172187708e-13,0.0,37
HD157172,260.644035952596,0.055812366401185,-19.61677732805734,0.0457538783677663,30.2728717450776,0.0606752653854244,1.9669671029998288,0.1057886668588536,-138.65491545868474,0.0737838318258664,-79.14475338542292,0.1849612412487128,1.55034169391674e-07,1.270941054877389e-07,1.0577340950354015,0.7375522248087405,2.764267098425533e-21,3.387123992774621e-12,3.1625435003059688e-12,-1.8865082882615677e-13,-1.5498400250692677e-13,-0.0002987877448649,0
